PO_ID,ASN/GRN mismatch,comments_ASN/GRN mismatch,Late delivery,comments_Late delivery,Missing GRN,comments_Missing GRN,No issues,comments_No issues,Over-delivery,comments_Over-delivery,Total price discrepancy,comments_Total price discrepancy,Under-delivery,comments_Under-delivery
PO1000,y,ASN shipped quantity (257) does not match GRN received quantity (117).,y,Earliest received date (2025-08-09) is after the PO delivery date (2025-07-06).,n,,n,,y,Total received quantity (117) exceeds ordered quantity (71).,y,Expected invoice amount (11689.44) does not match invoice amount (5758.56).,n,
PO1001,y,ASN shipped quantity (273) does not match GRN received quantity (197).,y,Earliest received date (2025-07-31) is after the PO delivery date (2025-07-01).,n,,n,,y,Total received quantity (197) exceeds ordered quantity (97).,y,Expected invoice amount (40566.37) does not match invoice amount (4561.67).,n,
PO1002,y,ASN shipped quantity (235) does not match GRN received quantity (239).,y,Earliest received date (2025-07-31) is after the PO delivery date (2025-07-01).,n,,n,,y,Total received quantity (239) exceeds ordered quantity (199).,y,Expected invoice amount (82899.42) does not match invoice amount (9116.91).,n,
PO1003,y,ASN shipped quantity (49) does not match GRN received quantity (123).,y,Earliest received date (2025-08-11) is after the PO delivery date (2025-08-04).,n,,n,,n,,y,Expected invoice amount (19547.46) does not match invoice amount (8662.79).,y,Total received quantity (123) is less than ordered quantity (159).
PO1004,y,ASN shipped quantity (45) does not match GRN received quantity (213).,y,Earliest received date (2025-08-14) is after the PO delivery date (2025-07-31).,n,,n,,y,Total received quantity (213) exceeds ordered quantity (73).,y,Expected invoice amount (13586.03) does not match invoice amount (3346.52).,n,
PO1005,y,ASN shipped quantity (175) does not match GRN received quantity (201).,y,Earliest received date (2025-08-03) is after the PO delivery date (2025-08-02).,n,,n,,y,Total received quantity (201) exceeds ordered quantity (53).,y,Expected invoice amount (7394.56) does not match invoice amount (2267.92).,n,
PO1006,y,ASN shipped quantity (122) does not match GRN received quantity (149).,n,,n,,n,,y,Total received quantity (149) exceeds ordered quantity (63).,y,Expected invoice amount (26201.70) does not match invoice amount (7071.27).,n,
PO1007,y,ASN shipped quantity (361) does not match GRN received quantity (594).,y,Earliest received date (2025-08-02) is after the PO delivery date (2025-07-10).,n,,n,,y,Total received quantity (594) exceeds ordered quantity (63).,y,Expected invoice amount (29359.89) does not match invoice amount (3285.13).,n,
PO1008,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1009,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1010,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1011,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1012,y,ASN shipped quantity (104) does not match GRN received quantity (107).,n,,n,,n,,y,Total received quantity (107) exceeds ordered quantity (62).,y,Expected invoice amount (14889.92) does not match invoice amount (7473.70).,n,
PO1013,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1014,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1015,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1016,y,ASN shipped quantity (305) does not match GRN received quantity (369).,y,Earliest received date (2025-08-01) is after the PO delivery date (2025-07-02).,n,,n,,y,Total received quantity (369) exceeds ordered quantity (157).,y,Expected invoice amount (47855.17) does not match invoice amount (7175.79).,n,
PO1017,y,ASN shipped quantity (88) does not match GRN received quantity (206).,y,Earliest received date (2025-07-28) is after the PO delivery date (2025-07-19).,n,,n,,y,Total received quantity (206) exceeds ordered quantity (197).,y,Expected invoice amount (74310.37) does not match invoice amount (1324.13).,n,
PO1018,y,ASN shipped quantity (149) does not match GRN received quantity (197).,y,Earliest received date (2025-07-31) is after the PO delivery date (2025-07-09).,n,,n,,y,Total received quantity (197) exceeds ordered quantity (66).,y,Expected invoice amount (24464.88) does not match invoice amount (5441.48).,n,
PO1019,y,ASN shipped quantity (75) does not match GRN received quantity (178).,n,,n,,n,,y,Total received quantity (178) exceeds ordered quantity (172).,y,Expected invoice amount (50676.36) does not match invoice amount (9963.84).,n,
PO1020,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1021,y,ASN shipped quantity (103) does not match GRN received quantity (73).,y,Earliest received date (2025-08-09) is after the PO delivery date (2025-07-23).,n,,n,,n,,y,Expected invoice amount (9927.50) does not match invoice amount (1133.07).,y,Total received quantity (73) is less than ordered quantity (125).
PO1022,y,ASN shipped quantity (250) does not match GRN received quantity (237).,y,Earliest received date (2025-08-04) is after the PO delivery date (2025-07-14).,n,,n,,y,Total received quantity (237) exceeds ordered quantity (86).,y,Expected invoice amount (23858.98) does not match invoice amount (2825.91).,n,
PO1023,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1024,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1025,y,ASN shipped quantity (222) does not match GRN received quantity (313).,n,,n,,n,,y,Total received quantity (313) exceeds ordered quantity (96).,y,Expected invoice amount (11730.24) does not match invoice amount (1827.66).,n,
PO1026,y,ASN shipped quantity (178) does not match GRN received quantity (253).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-06-11).,n,,n,,y,Total received quantity (253) exceeds ordered quantity (112).,y,Expected invoice amount (33696.32) does not match invoice amount (9090.76).,n,
PO1027,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1028,y,ASN shipped quantity (133) does not match GRN received quantity (186).,y,Earliest received date (2025-08-11) is after the PO delivery date (2025-07-13).,n,,n,,y,Total received quantity (186) exceeds ordered quantity (86).,y,Expected invoice amount (37239.72) does not match invoice amount (9944.27).,n,
PO1029,y,ASN shipped quantity (82) does not match GRN received quantity (211).,y,Earliest received date (2025-07-29) is after the PO delivery date (2025-06-18).,n,,n,,y,Total received quantity (211) exceeds ordered quantity (108).,y,Expected invoice amount (43972.20) does not match invoice amount (9990.43).,n,
PO1030,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1031,y,ASN shipped quantity (420) does not match GRN received quantity (255).,n,,n,,n,,y,Total received quantity (255) exceeds ordered quantity (152).,y,Expected invoice amount (60538.56) does not match invoice amount (4132.59).,n,
PO1032,y,ASN shipped quantity (287) does not match GRN received quantity (340).,y,Earliest received date (2025-07-29) is after the PO delivery date (2025-06-05).,n,,n,,y,Total received quantity (340) exceeds ordered quantity (182).,y,Expected invoice amount (61182.94) does not match invoice amount (2191.11).,n,
PO1033,y,ASN shipped quantity (173) does not match GRN received quantity (167).,y,Earliest received date (2025-08-12) is after the PO delivery date (2025-07-08).,n,,n,,y,Total received quantity (167) exceeds ordered quantity (159).,y,Expected invoice amount (14108.07) does not match invoice amount (6685.30).,n,
PO1034,y,ASN shipped quantity (166) does not match GRN received quantity (217).,n,,n,,n,,y,Total received quantity (217) exceeds ordered quantity (55).,y,Expected invoice amount (5382.30) does not match invoice amount (5379.74).,n,
PO1035,y,ASN shipped quantity (436) does not match GRN received quantity (295).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-12).,n,,n,,y,Total received quantity (295) exceeds ordered quantity (60).,y,Expected invoice amount (8557.20) does not match invoice amount (8925.35).,n,
PO1036,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1037,y,ASN shipped quantity (289) does not match GRN received quantity (350).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-27).,n,,n,,y,Total received quantity (350) exceeds ordered quantity (79).,y,Expected invoice amount (5703.80) does not match invoice amount (8027.86).,n,
PO1038,y,ASN shipped quantity (365) does not match GRN received quantity (159).,y,Earliest received date (2025-07-29) is after the PO delivery date (2025-06-12).,n,,n,,n,,y,Expected invoice amount (77895.02) does not match invoice amount (2152.19).,y,Total received quantity (159) is less than ordered quantity (161).
PO1039,y,ASN shipped quantity (80) does not match GRN received quantity (33).,n,,n,,n,,n,,y,Expected invoice amount (32895.08) does not match invoice amount (5821.86).,y,Total received quantity (33) is less than ordered quantity (76).
PO1040,y,ASN shipped quantity (293) does not match GRN received quantity (262).,y,Earliest received date (2025-08-04) is after the PO delivery date (2025-06-16).,n,,n,,y,Total received quantity (262) exceeds ordered quantity (56).,y,Expected invoice amount (17941.84) does not match invoice amount (4626.15).,n,
PO1041,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1042,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1043,y,ASN shipped quantity (493) does not match GRN received quantity (588).,y,Earliest received date (2025-08-03) is after the PO delivery date (2025-07-20).,n,,n,,y,Total received quantity (588) exceeds ordered quantity (113).,y,Expected invoice amount (13252.64) does not match invoice amount (8017.67).,n,
PO1044,y,ASN shipped quantity (362) does not match GRN received quantity (534).,y,Earliest received date (2025-07-31) is after the PO delivery date (2025-07-04).,n,,n,,y,Total received quantity (534) exceeds ordered quantity (199).,y,Expected invoice amount (59425.38) does not match invoice amount (9587.26).,n,
PO1045,y,ASN shipped quantity (166) does not match GRN received quantity (191).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-17).,n,,n,,y,Total received quantity (191) exceeds ordered quantity (161).,y,Expected invoice amount (60787.16) does not match invoice amount (3107.10).,n,
PO1046,y,ASN shipped quantity (288) does not match GRN received quantity (189).,y,Earliest received date (2025-08-04) is after the PO delivery date (2025-07-11).,n,,n,,y,Total received quantity (189) exceeds ordered quantity (70).,y,Expected invoice amount (14926.80) does not match invoice amount (8531.96).,n,
