PO_ID,reason,Comments
PO1000,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (117) exceeds ordered quantity (71).; ASN shipped quantity (257) does not match GRN received quantity (117).; Expected invoice amount (11689.44) does not match invoice amount (5758.56).; Earliest received date (2025-08-09) is after the PO delivery date (2025-07-06).
PO1001,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (197) exceeds ordered quantity (97).; ASN shipped quantity (273) does not match GRN received quantity (197).; Expected invoice amount (40566.37) does not match invoice amount (4561.67).; Earliest received date (2025-07-31) is after the PO delivery date (2025-07-01).
PO1002,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (239) exceeds ordered quantity (199).; ASN shipped quantity (235) does not match GRN received quantity (239).; Expected invoice amount (82899.42) does not match invoice amount (9116.91).; Earliest received date (2025-07-31) is after the PO delivery date (2025-07-01).
PO1003,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (123) is less than ordered quantity (159).; ASN shipped quantity (49) does not match GRN received quantity (123).; Expected invoice amount (19547.46) does not match invoice amount (8662.79).; Earliest received date (2025-08-11) is after the PO delivery date (2025-08-04).
PO1004,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (213) exceeds ordered quantity (73).; ASN shipped quantity (45) does not match GRN received quantity (213).; Expected invoice amount (13586.03) does not match invoice amount (3346.52).; Earliest received date (2025-08-14) is after the PO delivery date (2025-07-31).
PO1005,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (201) exceeds ordered quantity (53).; ASN shipped quantity (175) does not match GRN received quantity (201).; Expected invoice amount (7394.56) does not match invoice amount (2267.92).; Earliest received date (2025-08-03) is after the PO delivery date (2025-08-02).
PO1006,"Over-delivery, ASN/GRN mismatch, Total price discrepancy",Total received quantity (149) exceeds ordered quantity (63).; ASN shipped quantity (122) does not match GRN received quantity (149).; Expected invoice amount (26201.70) does not match invoice amount (7071.27).
PO1007,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (594) exceeds ordered quantity (63).; ASN shipped quantity (361) does not match GRN received quantity (594).; Expected invoice amount (29359.89) does not match invoice amount (3285.13).; Earliest received date (2025-08-02) is after the PO delivery date (2025-07-10).
PO1008,Missing GRN,No GRN record found for this PO.
PO1009,Missing GRN,No GRN record found for this PO.
PO1010,Missing GRN,No GRN record found for this PO.
PO1011,Missing GRN,No GRN record found for this PO.
PO1012,"Over-delivery, ASN/GRN mismatch, Total price discrepancy",Total received quantity (107) exceeds ordered quantity (62).; ASN shipped quantity (104) does not match GRN received quantity (107).; Expected invoice amount (14889.92) does not match invoice amount (7473.70).
PO1013,Missing GRN,No GRN record found for this PO.
PO1014,Missing GRN,No GRN record found for this PO.
PO1015,Missing GRN,No GRN record found for this PO.
PO1016,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (369) exceeds ordered quantity (157).; ASN shipped quantity (305) does not match GRN received quantity (369).; Expected invoice amount (47855.17) does not match invoice amount (7175.79).; Earliest received date (2025-08-01) is after the PO delivery date (2025-07-02).
PO1017,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (206) exceeds ordered quantity (197).; ASN shipped quantity (88) does not match GRN received quantity (206).; Expected invoice amount (74310.37) does not match invoice amount (1324.13).; Earliest received date (2025-07-28) is after the PO delivery date (2025-07-19).
PO1018,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (197) exceeds ordered quantity (66).; ASN shipped quantity (149) does not match GRN received quantity (197).; Expected invoice amount (24464.88) does not match invoice amount (5441.48).; Earliest received date (2025-07-31) is after the PO delivery date (2025-07-09).
PO1019,"Over-delivery, ASN/GRN mismatch, Total price discrepancy",Total received quantity (178) exceeds ordered quantity (172).; ASN shipped quantity (75) does not match GRN received quantity (178).; Expected invoice amount (50676.36) does not match invoice amount (9963.84).
PO1020,Missing GRN,No GRN record found for this PO.
PO1021,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (73) is less than ordered quantity (125).; ASN shipped quantity (103) does not match GRN received quantity (73).; Expected invoice amount (9927.50) does not match invoice amount (1133.07).; Earliest received date (2025-08-09) is after the PO delivery date (2025-07-23).
PO1022,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (237) exceeds ordered quantity (86).; ASN shipped quantity (250) does not match GRN received quantity (237).; Expected invoice amount (23858.98) does not match invoice amount (2825.91).; Earliest received date (2025-08-04) is after the PO delivery date (2025-07-14).
PO1023,Missing GRN,No GRN record found for this PO.
PO1024,Missing GRN,No GRN record found for this PO.
PO1025,"Over-delivery, ASN/GRN mismatch, Total price discrepancy",Total received quantity (313) exceeds ordered quantity (96).; ASN shipped quantity (222) does not match GRN received quantity (313).; Expected invoice amount (11730.24) does not match invoice amount (1827.66).
PO1026,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (253) exceeds ordered quantity (112).; ASN shipped quantity (178) does not match GRN received quantity (253).; Expected invoice amount (33696.32) does not match invoice amount (9090.76).; Earliest received date (2025-07-30) is after the PO delivery date (2025-06-11).
PO1027,Missing GRN,No GRN record found for this PO.
PO1028,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (186) exceeds ordered quantity (86).; ASN shipped quantity (133) does not match GRN received quantity (186).; Expected invoice amount (37239.72) does not match invoice amount (9944.27).; Earliest received date (2025-08-11) is after the PO delivery date (2025-07-13).
PO1029,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (211) exceeds ordered quantity (108).; ASN shipped quantity (82) does not match GRN received quantity (211).; Expected invoice amount (43972.20) does not match invoice amount (9990.43).; Earliest received date (2025-07-29) is after the PO delivery date (2025-06-18).
PO1030,Missing GRN,No GRN record found for this PO.
PO1031,"Over-delivery, ASN/GRN mismatch, Total price discrepancy",Total received quantity (255) exceeds ordered quantity (152).; ASN shipped quantity (420) does not match GRN received quantity (255).; Expected invoice amount (60538.56) does not match invoice amount (4132.59).
PO1032,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (340) exceeds ordered quantity (182).; ASN shipped quantity (287) does not match GRN received quantity (340).; Expected invoice amount (61182.94) does not match invoice amount (2191.11).; Earliest received date (2025-07-29) is after the PO delivery date (2025-06-05).
PO1033,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (167) exceeds ordered quantity (159).; ASN shipped quantity (173) does not match GRN received quantity (167).; Expected invoice amount (14108.07) does not match invoice amount (6685.30).; Earliest received date (2025-08-12) is after the PO delivery date (2025-07-08).
PO1034,"Over-delivery, ASN/GRN mismatch, Total price discrepancy",Total received quantity (217) exceeds ordered quantity (55).; ASN shipped quantity (166) does not match GRN received quantity (217).; Expected invoice amount (5382.30) does not match invoice amount (5379.74).
PO1035,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (295) exceeds ordered quantity (60).; ASN shipped quantity (436) does not match GRN received quantity (295).; Expected invoice amount (8557.20) does not match invoice amount (8925.35).; Earliest received date (2025-07-30) is after the PO delivery date (2025-07-12).
PO1036,Missing GRN,No GRN record found for this PO.
PO1037,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (350) exceeds ordered quantity (79).; ASN shipped quantity (289) does not match GRN received quantity (350).; Expected invoice amount (5703.80) does not match invoice amount (8027.86).; Earliest received date (2025-07-30) is after the PO delivery date (2025-07-27).
PO1038,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (159) is less than ordered quantity (161).; ASN shipped quantity (365) does not match GRN received quantity (159).; Expected invoice amount (77895.02) does not match invoice amount (2152.19).; Earliest received date (2025-07-29) is after the PO delivery date (2025-06-12).
PO1039,"Under-delivery, ASN/GRN mismatch, Total price discrepancy",Total received quantity (33) is less than ordered quantity (76).; ASN shipped quantity (80) does not match GRN received quantity (33).; Expected invoice amount (32895.08) does not match invoice amount (5821.86).
PO1040,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (262) exceeds ordered quantity (56).; ASN shipped quantity (293) does not match GRN received quantity (262).; Expected invoice amount (17941.84) does not match invoice amount (4626.15).; Earliest received date (2025-08-04) is after the PO delivery date (2025-06-16).
PO1041,Missing GRN,No GRN record found for this PO.
PO1042,Missing GRN,No GRN record found for this PO.
PO1043,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (588) exceeds ordered quantity (113).; ASN shipped quantity (493) does not match GRN received quantity (588).; Expected invoice amount (13252.64) does not match invoice amount (8017.67).; Earliest received date (2025-08-03) is after the PO delivery date (2025-07-20).
PO1044,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (534) exceeds ordered quantity (199).; ASN shipped quantity (362) does not match GRN received quantity (534).; Expected invoice amount (59425.38) does not match invoice amount (9587.26).; Earliest received date (2025-07-31) is after the PO delivery date (2025-07-04).
PO1045,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (191) exceeds ordered quantity (161).; ASN shipped quantity (166) does not match GRN received quantity (191).; Expected invoice amount (60787.16) does not match invoice amount (3107.10).; Earliest received date (2025-07-30) is after the PO delivery date (2025-07-17).
PO1046,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (189) exceeds ordered quantity (70).; ASN shipped quantity (288) does not match GRN received quantity (189).; Expected invoice amount (14926.80) does not match invoice amount (8531.96).; Earliest received date (2025-08-04) is after the PO delivery date (2025-07-11).
PO1047,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (186) exceeds ordered quantity (110).; ASN shipped quantity (230) does not match GRN received quantity (186).; Expected invoice amount (34224.30) does not match invoice amount (2248.97).; Earliest received date (2025-07-28) is after the PO delivery date (2025-07-02).
PO1048,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (200) exceeds ordered quantity (134).; ASN shipped quantity (183) does not match GRN received quantity (200).; Expected invoice amount (57051.84) does not match invoice amount (7250.01).; Earliest received date (2025-08-01) is after the PO delivery date (2025-07-20).
PO1049,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (59) is less than ordered quantity (82).; ASN shipped quantity (127) does not match GRN received quantity (59).; Expected invoice amount (28589.30) does not match invoice amount (8394.36).; Earliest received date (2025-07-29) is after the PO delivery date (2025-07-25).
PO1050,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (99) is less than ordered quantity (145).; ASN shipped quantity (184) does not match GRN received quantity (99).; Expected invoice amount (43301.35) does not match invoice amount (4210.94).; Earliest received date (2025-08-08) is after the PO delivery date (2025-07-13).
PO1051,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (278) exceeds ordered quantity (148).; ASN shipped quantity (302) does not match GRN received quantity (278).; Expected invoice amount (61695.28) does not match invoice amount (8283.17).; Earliest received date (2025-08-01) is after the PO delivery date (2025-07-24).
PO1052,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (235) exceeds ordered quantity (171).; ASN shipped quantity (228) does not match GRN received quantity (235).; Expected invoice amount (35487.63) does not match invoice amount (8649.54).; Earliest received date (2025-08-04) is after the PO delivery date (2025-06-18).
PO1053,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (53) is less than ordered quantity (131).; ASN shipped quantity (63) does not match GRN received quantity (53).; Expected invoice amount (14492.53) does not match invoice amount (2101.05).; Earliest received date (2025-08-16) is after the PO delivery date (2025-08-10).
PO1054,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (288) exceeds ordered quantity (58).; ASN shipped quantity (285) does not match GRN received quantity (288).; Expected invoice amount (14376.46) does not match invoice amount (4714.81).; Earliest received date (2025-07-30) is after the PO delivery date (2025-07-21).
PO1055,"Over-delivery, ASN/GRN mismatch, Total price discrepancy",Total received quantity (541) exceeds ordered quantity (132).; ASN shipped quantity (586) does not match GRN received quantity (541).; Expected invoice amount (31864.80) does not match invoice amount (5975.75).
PO1056,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (142) is less than ordered quantity (177).; ASN shipped quantity (185) does not match GRN received quantity (142).; Expected invoice amount (54296.52) does not match invoice amount (8933.63).; Earliest received date (2025-08-02) is after the PO delivery date (2025-07-23).
PO1057,Missing GRN,No GRN record found for this PO.
PO1058,Missing GRN,No GRN record found for this PO.
PO1059,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (353) exceeds ordered quantity (105).; ASN shipped quantity (316) does not match GRN received quantity (353).; Expected invoice amount (9641.10) does not match invoice amount (2983.04).; Earliest received date (2025-07-29) is after the PO delivery date (2025-05-28).
PO1060,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (214) exceeds ordered quantity (144).; ASN shipped quantity (104) does not match GRN received quantity (214).; Expected invoice amount (54859.68) does not match invoice amount (7235.97).; Earliest received date (2025-07-30) is after the PO delivery date (2025-07-13).
PO1061,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (370) exceeds ordered quantity (50).; ASN shipped quantity (289) does not match GRN received quantity (370).; Expected invoice amount (6115.50) does not match invoice amount (4409.49).; Earliest received date (2025-08-09) is after the PO delivery date (2025-06-03).
PO1062,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (206) exceeds ordered quantity (87).; ASN shipped quantity (365) does not match GRN received quantity (206).; Expected invoice amount (37958.97) does not match invoice amount (4529.78).; Earliest received date (2025-08-06) is after the PO delivery date (2025-07-31).
PO1063,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (133) exceeds ordered quantity (92).; ASN shipped quantity (118) does not match GRN received quantity (133).; Expected invoice amount (8245.04) does not match invoice amount (4041.22).; Earliest received date (2025-08-07) is after the PO delivery date (2025-07-25).
PO1064,"Under-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (62) is less than ordered quantity (69).; ASN shipped quantity (308) does not match GRN received quantity (62).; Expected invoice amount (31749.66) does not match invoice amount (5130.10).; Earliest received date (2025-07-31) is after the PO delivery date (2025-07-30).
PO1065,"Over-delivery, ASN/GRN mismatch, Total price discrepancy",Total received quantity (304) exceeds ordered quantity (198).; ASN shipped quantity (276) does not match GRN received quantity (304).; Expected invoice amount (91951.20) does not match invoice amount (2126.52).
PO1066,"Over-delivery, ASN/GRN mismatch, Total price discrepancy, Late delivery",Total received quantity (120) exceeds ordered quantity (103).; ASN shipped quantity (196) does not match GRN received quantity (120).; Expected invoice amount (9323.56) does not match invoice amount (3925.94).; Earliest received date (2025-08-03) is after the PO delivery date (2025-07-28).
