PO_ID,reason,comments
PO1000,ASN/GRN mismatch,ASN shipped quantity (257) does not match GRN received quantity (117).
PO1000,Late delivery,Earliest received date (2025-08-09) is after the PO delivery date (2025-07-06).
PO1000,Over-delivery,Total received quantity (117) exceeds ordered quantity (71).
PO1000,Total price discrepancy,Expected invoice amount (11689.44) does not match invoice amount (5758.56).
PO1001,ASN/GRN mismatch,ASN shipped quantity (273) does not match GRN received quantity (197).
PO1001,Late delivery,Earliest received date (2025-07-31) is after the PO delivery date (2025-07-01).
PO1001,Over-delivery,Total received quantity (197) exceeds ordered quantity (97).
PO1001,Total price discrepancy,Expected invoice amount (40566.37) does not match invoice amount (4561.67).
PO1002,ASN/GRN mismatch,ASN shipped quantity (235) does not match GRN received quantity (239).
PO1002,Late delivery,Earliest received date (2025-07-31) is after the PO delivery date (2025-07-01).
PO1002,Over-delivery,Total received quantity (239) exceeds ordered quantity (199).
PO1002,Total price discrepancy,Expected invoice amount (82899.42) does not match invoice amount (9116.91).
PO1003,ASN/GRN mismatch,ASN shipped quantity (49) does not match GRN received quantity (123).
PO1003,Late delivery,Earliest received date (2025-08-11) is after the PO delivery date (2025-08-04).
PO1003,Total price discrepancy,Expected invoice amount (19547.46) does not match invoice amount (8662.79).
PO1003,Under-delivery,Total received quantity (123) is less than ordered quantity (159).
PO1004,ASN/GRN mismatch,ASN shipped quantity (45) does not match GRN received quantity (213).
PO1004,Late delivery,Earliest received date (2025-08-14) is after the PO delivery date (2025-07-31).
PO1004,Over-delivery,Total received quantity (213) exceeds ordered quantity (73).
PO1004,Total price discrepancy,Expected invoice amount (13586.03) does not match invoice amount (3346.52).
PO1005,ASN/GRN mismatch,ASN shipped quantity (175) does not match GRN received quantity (201).
PO1005,Late delivery,Earliest received date (2025-08-03) is after the PO delivery date (2025-08-02).
PO1005,Over-delivery,Total received quantity (201) exceeds ordered quantity (53).
PO1005,Total price discrepancy,Expected invoice amount (7394.56) does not match invoice amount (2267.92).
PO1006,ASN/GRN mismatch,ASN shipped quantity (122) does not match GRN received quantity (149).
PO1006,Over-delivery,Total received quantity (149) exceeds ordered quantity (63).
