PO_ID,list_of_reasons
PO1000,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1001,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1002,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1003,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1004,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1005,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1006,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1007,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1008,Missing GRN
PO1009,Missing GRN
PO1010,Missing GRN
PO1011,Missing GRN
PO1012,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1013,Missing GRN
PO1014,Missing GRN
PO1015,Missing GRN
PO1016,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1017,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1018,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1019,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1020,Missing GRN
PO1021,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1022,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1023,Missing GRN
PO1024,Missing GRN
PO1025,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1026,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1027,Missing GRN
PO1028,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1029,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1030,Missing GRN
PO1031,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1032,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1033,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1034,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1035,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1036,Missing GRN
PO1037,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1038,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1039,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1040,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1041,Missing GRN
PO1042,Missing GRN
PO1043,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1044,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1045,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1046,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1047,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1048,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1049,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1050,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1051,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1052,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1053,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1054,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1055,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1056,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1057,Missing GRN
PO1058,Missing GRN
PO1059,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1060,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1061,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1062,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1063,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1064,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1065,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1066,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1067,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1068,Missing GRN
PO1069,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
